@relation miRNA-weka.filters.supervised.instance.SMOTE-C0-K5-P66.6666666667-S1

@attribute feat0 numeric
@attribute feat1 numeric
@attribute feat2 numeric
@attribute feat3 numeric
@attribute feat4 numeric
@attribute feat5 numeric
@attribute feat6 numeric
@attribute feat7 numeric
@attribute feat8 numeric
@attribute feat9 numeric
@attribute feat10 numeric
@attribute feat11 numeric
@attribute feat12 numeric
@attribute feat13 numeric
@attribute feat14 numeric
@attribute feat15 numeric
@attribute feat16 numeric
@attribute feat17 numeric
@attribute feat18 numeric
@attribute feat19 numeric
@attribute class {real,pseudo}

@data
0.009901,-0.008143,-2.1786,2.2222,-41.96,17.12,0.166667,12.903226,6.2,-0.022063,0.960238,0.354328,1.235856,3.665031,2.723956,0.271283,0.468187,0.040375,0.472252,2.584657,real
0.059406,-0.006181,-1.3032,0.6844,-57.06,17.16,0.125,16,5,-0.019774,0.749868,0.234334,0.918352,1.999649,1.809921,0.372593,0.454971,0.023822,0.247028,4.265292,real
0.009901,-0.010352,-6.0597,3.469,-23.466667,13.833333,0.175824,11.764706,5.666667,-0.027705,0.973218,0.363594,2.028416,3.849756,2.230439,0.274372,0.37853,0.000256,0.634507,5.862796,real
0.009901,-0.009614,-5.0266,1.8244,-53.1,18.075,0.123596,21.875,8,-0.026737,0.986353,0.354693,1.620214,3.512653,2.073813,0.261548,0.374986,0.015998,0.615421,5.007795,real
0.009901,-0.008187,-5.0737,3.2495,-65.35,22.275,0.181818,8.823529,8.5,-0.021189,0.921839,0.356199,1.657714,4.05739,4.655753,0.268575,0.482893,0.011325,0.586353,4.495779,real
0.009901,-0.011909,-6.2245,1.9142,-54.975,20.65,0.18,22.222222,9,-0.033081,0.937041,0.337335,1.982104,3.346574,2.472495,0.244446,0.571101,0.010341,0.586852,9.17553,real
0.009901,-0.012002,-6.9809,3.4651,-63.925,22.7,0.2,20.689655,7.25,-0.028967,0.994714,0.41211,2.448993,5.803467,3.492677,0.199625,0.581018,0.01845,0.769969,6.578376,real
0.009901,-0.010583,-7.6704,2.6344,-87.8,29.133333,0.158537,6.896552,9.666667,-0.029927,0.975875,0.345167,1.974586,3.335185,2.617648,0.252014,0.46883,0.045649,0.650462,4.010461,real
0.009901,-0.008221,-4.5194,2.6906,-142.75,39.1,0.159091,12.5,16,-0.022604,0.940723,0.342047,1.599411,3.448398,1.904409,0.287257,0.319483,0.005774,0.45553,4.695819,real
0.009901,-0.008161,-4.4377,1.3947,-64.925,21.1,0.135417,9.090909,8.25,-0.02374,0.948372,0.32605,1.433809,3.035762,2.281375,0.318105,0.350199,0.010104,0.443939,4.103342,real
0.009901,-0.008201,-3.2471,2.5473,-54.433333,33.533333,0.168675,9.677419,10.333333,-0.021956,0.856962,0.320075,1.321361,3.387202,2.698388,0.285082,0.451009,0.027168,0.370171,2.957126,real
0.009901,-0.007215,-2.4711,0.5689,-61.375,19.025,0.096386,20,6.25,-0.023953,0.901446,0.271515,1.259397,2.267218,1.476096,0.360715,0.250316,0.055762,0.471144,3.596316,real
0.009901,-0.009,-5.7062,2.8815,-86.7,26.833333,0.21519,17.241379,9.666667,-0.024515,0.93039,0.341546,1.829668,3.500337,3.442904,0.279962,0.473608,0.025042,0.475697,6.946259,real
0.009901,-0.009406,-6.3607,3.1111,-120.75,21.1,0.166667,13.333333,7.5,-0.024452,0.978816,0.376453,1.843931,4.24097,3.096196,0.27133,0.325333,0.000478,0.503048,3.644032,real
0.009901,-0.009068,-4.9083,3.2791,-97.566667,25.1,0.156627,15.151515,11,-0.022809,0.921341,0.366325,1.506147,4.498738,3.053347,0.248915,0.48777,0.045065,0.424033,4.48611,real
0.009901,-0.009553,-5.1373,1.8004,-95.733333,28.533333,0.163462,13.888889,12,-0.0276,0.958172,0.331719,1.668477,3.114994,3.928947,0.296054,0.558061,0.009717,0.513402,3.008818,real
0.009901,-0.009857,-4.8606,1.6981,-71,22.55,0.197802,6.451613,7.75,-0.028937,0.993095,0.338348,1.759761,3.11706,2.868916,0.327126,0.45727,0.020661,0.434829,3.905991,real
0.009901,-0.009713,-9.3532,4.3485,-98.166667,27.5,0.193878,10.25641,12.333333,-0.025728,0.969796,0.366195,2.393033,3.961585,2.294463,0.22784,0.390754,0.001659,0.399698,6.873729,real
0.009901,-0.008763,-5.6435,3.2692,-53.866667,26.433333,0.16,7.142857,9.333333,-0.023471,0.976575,0.364556,1.936924,3.853888,3.410056,0.270986,0.402508,0.026021,0.692392,1.018578,real
0.009901,-0.01,-6.0663,1.3737,-88.433333,29.2,0.166667,11.538462,8.666667,-0.03,0.946923,0.315609,1.997728,2.840201,3.027887,0.322489,0.446855,0.026593,0.426574,5.103017,real
